name,stars,age_in_years,releases,primary_language,url
zaproxy/zaproxy,13377,9.82,11,Java,https://github.com/zaproxy/zaproxy
apache/dolphinscheduler,13349,6.07,52,Java,https://github.com/apache/dolphinscheduler
DuGuQiuBai/Java,13231,9.34,0,Java,https://github.com/DuGuQiuBai/Java
janishar/mit-deep-learning-book-pdf,13218,7.97,3,Java,https://github.com/janishar/mit-deep-learning-book-pdf
macrozheng/mall-learning,13100,5.96,0,Java,https://github.com/macrozheng/mall-learning
projectlombok/lombok,13080,15.81,0,Java,https://github.com/projectlombok/lombok
youth5201314/banner,12977,8.93,0,Java,https://github.com/youth5201314/banner
languagetool-org/languagetool,12922,11.64,0,Java,https://github.com/languagetool-org/languagetool
Netflix/conductor,12792,8.30,319,Java,https://github.com/Netflix/conductor
facebook/stetho,12693,10.18,13,Java,https://github.com/facebook/stetho
greenrobot/greenDAO,12623,13.43,8,Java,https://github.com/greenrobot/greenDAO
pxb1988/dex2jar,12608,10.03,8,Java,https://github.com/pxb1988/dex2jar
cryptomator/cryptomator,12589,11.15,184,Java,https://github.com/cryptomator/cryptomator
google/guice,12582,10.83,19,Java,https://github.com/google/guice
zhihu/Matisse,12551,7.96,15,Java,https://github.com/zhihu/Matisse
codecentric/spring-boot-admin,12513,10.68,131,Java,https://github.com/codecentric/spring-boot-admin
Netflix/eureka,12513,12.67,150,Java,https://github.com/Netflix/eureka
daimajia/AndroidViewAnimations,12452,10.76,9,Java,https://github.com/daimajia/AndroidViewAnimations
apache/zookeeper,12423,16.01,0,Java,https://github.com/apache/zookeeper
daimajia/AndroidSwipeLayout,12401,10.59,18,Java,https://github.com/daimajia/AndroidSwipeLayout
alibaba/COLA,12305,7.14,11,Java,https://github.com/alibaba/COLA
pagehelper/Mybatis-PageHelper,12283,10.80,14,Java,https://github.com/pagehelper/Mybatis-PageHelper
macrozheng/mall-swarm,12216,5.34,3,Java,https://github.com/macrozheng/mall-swarm
kekingcn/kkFileView,12163,7.29,16,Java,https://github.com/kekingcn/kkFileView
redis/jedis,12001,14.80,110,Java,https://github.com/redis/jedis
Yalantis/uCrop,11964,9.23,18,Java,https://github.com/Yalantis/uCrop
metersphere/metersphere,11910,5.15,176,Java,https://github.com/metersphere/metersphere
Tencent/VasSonic,11852,7.65,10,Java,https://github.com/Tencent/VasSonic
Tencent/matrix,11771,6.29,16,Java,https://github.com/Tencent/matrix
amitshekhariitbhu/android-interview-questions,11734,7.72,0,Java,https://github.com/amitshekhariitbhu/android-interview-questions
grpc/grpc-java,11654,10.30,176,Java,https://github.com/grpc/grpc-java
frank-lam/fullstack-tutorial,11632,6.96,0,Java,https://github.com/frank-lam/fullstack-tutorial
code4craft/webmagic,11525,11.93,33,Java,https://github.com/code4craft/webmagic
realm/realm-java,11483,12.94,0,Java,https://github.com/realm/realm-java
careercup/CtCI-6th-Edition,11403,9.74,0,Java,https://github.com/careercup/CtCI-6th-Edition
gyf-dev/ImmersionBar,11377,7.94,0,Java,https://github.com/gyf-dev/ImmersionBar
Team-xManager/xManager,11319,4.13,50,Java,https://github.com/Team-xManager/xManager
newbee-ltd/newbee-mall,11272,5.51,0,Java,https://github.com/newbee-ltd/newbee-mall
permissions-dispatcher/PermissionsDispatcher,11228,9.62,40,Java,https://github.com/permissions-dispatcher/PermissionsDispatcher
debezium/debezium,11218,9.18,0,Java,https://github.com/debezium/debezium
OpenRefine/OpenRefine,11218,12.45,68,Java,https://github.com/OpenRefine/OpenRefine
plantuml/plantuml,11179,14.40,53,Java,https://github.com/plantuml/plantuml
mission-peace/interview,11140,10.69,0,Java,https://github.com/mission-peace/interview
H07000223/FlycoTabLayout,11091,9.38,4,Java,https://github.com/H07000223/FlycoTabLayout
jhy/jsoup,11088,15.28,17,Java,https://github.com/jhy/jsoup
lingochamp/FileDownloader,11079,9.26,65,Java,https://github.com/lingochamp/FileDownloader
jfeinstein10/SlidingMenu,11061,12.74,0,Java,https://github.com/jfeinstein10/SlidingMenu
apereo/cas,11044,13.55,290,Java,https://github.com/apereo/cas
androidannotations/androidannotations,11043,13.23,0,Java,https://github.com/androidannotations/androidannotations
daniulive/SmarterStreaming,11030,9.00,0,Java,https://github.com/daniulive/SmarterStreaming
trinodb/trino,11028,6.19,0,Java,https://github.com/trinodb/trino
square/javapoet,10856,12.15,0,Java,https://github.com/square/javapoet
alibaba/vlayout,10790,8.08,34,Java,https://github.com/alibaba/vlayout
aosp-mirror/platform_frameworks_base,10708,16.44,0,Java,https://github.com/aosp-mirror/platform_frameworks_base
doocs/jvm,10678,6.76,0,Java,https://github.com/doocs/jvm
PaperMC/Paper,10676,9.18,0,Java,https://github.com/PaperMC/Paper
android-async-http/android-async-http,10633,14.10,3,Java,https://github.com/android-async-http/android-async-http
TooTallNate/Java-WebSocket,10626,15.19,19,Java,https://github.com/TooTallNate/Java-WebSocket
jeasonlzy/okhttp-OkGo,10610,9.20,14,Java,https://github.com/jeasonlzy/okhttp-OkGo
clojure/clojure,10575,14.75,0,Java,https://github.com/clojure/clojure
jwtk/jjwt,10551,10.54,7,Java,https://github.com/jwtk/jjwt
apple/pkl,10544,1.18,13,Java,https://github.com/apple/pkl
provectus/kafka-ui,10496,5.33,25,Java,https://github.com/provectus/kafka-ui
google/auto,10488,11.85,66,Java,https://github.com/google/auto
