name,stars,age_in_years,releases,primary_language,url
mission-peace/interview,11137,10.66,0,Java,https://github.com/mission-peace/interview
plantuml/plantuml,11112,14.37,53,Java,https://github.com/plantuml/plantuml
H07000223/FlycoTabLayout,11089,9.36,4,Java,https://github.com/H07000223/FlycoTabLayout
jhy/jsoup,11080,15.25,17,Java,https://github.com/jhy/jsoup
lingochamp/FileDownloader,11079,9.24,65,Java,https://github.com/lingochamp/FileDownloader
jfeinstein10/SlidingMenu,11061,12.72,0,Java,https://github.com/jfeinstein10/SlidingMenu
androidannotations/androidannotations,11044,13.20,0,Java,https://github.com/androidannotations/androidannotations
apereo/cas,11040,13.53,289,Java,https://github.com/apereo/cas
daniulive/SmarterStreaming,11017,8.98,0,Java,https://github.com/daniulive/SmarterStreaming
trinodb/trino,10995,6.16,0,Java,https://github.com/trinodb/trino
square/javapoet,10853,12.13,0,Java,https://github.com/square/javapoet
alibaba/vlayout,10790,8.05,34,Java,https://github.com/alibaba/vlayout
aosp-mirror/platform_frameworks_base,10706,16.41,0,Java,https://github.com/aosp-mirror/platform_frameworks_base
doocs/jvm,10652,6.74,0,Java,https://github.com/doocs/jvm
android-async-http/android-async-http,10632,14.08,3,Java,https://github.com/android-async-http/android-async-http
PaperMC/Paper,10631,9.16,0,Java,https://github.com/PaperMC/Paper
TooTallNate/Java-WebSocket,10619,15.16,19,Java,https://github.com/TooTallNate/Java-WebSocket
jeasonlzy/okhttp-OkGo,10610,9.17,14,Java,https://github.com/jeasonlzy/okhttp-OkGo
clojure/clojure,10571,14.72,0,Java,https://github.com/clojure/clojure
apple/pkl,10539,1.16,13,Java,https://github.com/apple/pkl
jwtk/jjwt,10538,10.52,7,Java,https://github.com/jwtk/jjwt
google/auto,10489,11.83,66,Java,https://github.com/google/auto
lipangit/JiaoZiVideoPlayer,10486,9.11,78,Java,https://github.com/lipangit/JiaoZiVideoPlayer
tbruyelle/RxPermissions,10482,9.47,11,Java,https://github.com/tbruyelle/RxPermissions
provectus/kafka-ui,10446,5.31,25,Java,https://github.com/provectus/kafka-ui
